region,before,current,diff,total
rgs,87739,11326.90608,12.9097734,1.028974131
sc,95228,22788.02222,23.92995991,2.070140355
pr,196150,20949.76099,10.68047973,1.90314654
sp,202021,27030.85232,13.38021905,2.455573269
rj,43641,8756.117863,20.06397164,0.795435109
mg,236769,24921.13491,10.52550583,2.263919465
es,46050,5176.408729,11.24084415,0.470242327
ba,109783,18569.27553,16.91452732,1.686895259
ms,37418,3863.312134,10.32474246,0.350956229
se,9769,929.541166,9.515213082,0.084442637
al,14611,1530.862611,10.47746637,0.139068693
pe,15483,1861.933092,12.025661,0.169144246
pb,4092,1.442805,0.035259164,0.000131069
rn,2042,0,0,0
total,1100796,147705.5705,13.41806933,13.41806933
before,0,1100796,100,100
